node1,node2,length,startLon,startLat,endLon,endLat,startNodeL,endNodeL,startYear,endYear
48,49,2.43572757160235,-19.3425531914894,3.64893617021277,-30.8315789473684,-11.1263157894737,21.1705825793398,13.2424602504152,2003.38793898124,2011.31606131016
49,50,4.92836914507387,-30.8315789473684,-11.1263157894737,-29.9333333333333,-10.8666666666667,13.2424602504152,10.9112081411817,2011.31606131016,2013.64731341939
50,55,0.322035470638205,-29.9333333333333,-10.8666666666667,-23.3692307692308,-8.96923076923077,10.9112081411817,9.54833362066002,2013.64731341939,2015.01018793991
50,51,2.19437841023846,-29.9333333333333,-10.8666666666667,-47,-15.8,10.9112081411817,9.52959756148305,2013.64731341939,2015.02892399909
51,52,0.449553972525486,-47,-15.8,-47,-15.8,9.52959756148305,9.26829707546593,2015.02892399909,2015.29022448511
55,66,1.94678624375608,-23.3692307692308,-8.96923076923077,20.7,3.4,9.54833362066002,8.88592640651548,2015.01018793991,2015.67259515406
49,19,10.0569225277375,-30.8315789473684,-11.1263157894737,-47,-15.8,13.2424602504152,8.67793247999998,2011.31606131016,2015.88058908057
55,56,1.02594072090703,-23.3692307692308,-8.96923076923077,-31.3818181818182,-11.2181818181818,9.54833362066002,8.47140740902444,2015.01018793991,2016.08711415155
52,3,2.7691108598998,-47,-15.8,-47,-15.8,9.26829707546593,8.39344261999984,2015.29022448511,2016.16507894058
52,53,0.813252699333422,-47,-15.8,-47,-15.8,9.26829707546593,8.34895384241267,2015.29022448511,2016.20956771816
51,54,1.52441821656982,-47,-15.8,-47,-15.8,9.52959756148305,8.29951992305979,2015.02892399909,2016.25900163752
56,57,0.0918310912975375,-31.3818181818182,-11.2181818181818,-29.82,-10.76,8.47140740902444,8.28927811242241,2016.08711415155,2016.26924344815
66,17,3.37646195826937,20.7,3.4,-47,-15.8,8.88592640651548,8.16120218999992,2015.67259515406,2016.39731937058
54,5,1.95380945585539,-47,-15.8,-47,-15.8,8.29951992305979,8.13387977999992,2016.25900163752,2016.42464178058
53,2,2.22361772056653,-47,-15.8,-47,-15.8,8.34895384241267,8.12568305999969,2016.20956771816,2016.43283850058
54,4,1.96200617585562,-47,-15.8,-47,-15.8,8.29951992305979,8.12568305999968,2016.25900163752,2016.43283850058
53,1,2.34383630056611,-47,-15.8,-47,-15.8,8.34895384241267,8.00546448000011,2016.20956771816,2016.55305708057
58,63,0.607921299973722,-28.8555555555556,-10.5222222222222,-8.3,-4.65,7.76866676102447,7.77116984663423,2016.78985479955,2016.78735171394
57,58,0.00592609594419713,-29.82,-10.76,-28.8555555555556,-10.5222222222222,8.28927811242241,7.76866676102447,2016.26924344815,2016.78985479955
58,59,1.57754163584797,-28.8555555555556,-10.5222222222222,-45.3,-15.22,7.76866676102447,7.69882720889125,2016.78985479955,2016.85969435168
66,18,4.0652111182693,20.7,3.4,88.4,22.6,8.88592640651548,7.47245303,2015.67259515406,2017.08606853057
59,62,1.63578924048788,-45.3,-15.22,-42.75,-14.35,7.69882720889125,7.31493668590255,2016.85969435168,2017.24358487467
62,10,2.01743432754086,-42.75,-14.35,-38.5,-12.9,7.31493668590255,7.12998727999989,2017.24358487467,2017.42853428058
59,60,0.537778848910076,-45.3,-15.22,-47,-15.8,7.69882720889125,7.11215040126359,2016.85969435168,2017.44637115931
63,64,2.42402955086105,-8.3,-4.65,-47,-15.8,7.77116984663423,7.09781745252703,2016.78735171394,2017.46070410805
60,61,0.886135488138017,-47,-15.8,-47,-15.8,7.11215040126359,7.06604268727351,2017.44637115931,2017.4924788733
62,9,2.08318775754072,-42.75,-14.35,-47,-15.8,7.31493668590255,7.06423385000003,2017.24358487467,2017.49428771058
56,16,5.44359089111855,-31.3818181818182,-11.2181818181818,-47,-15.8,8.47140740902444,7.01491877999979,2016.08711415155,2017.54360278058
60,6,3.23051321911877,-47,-15.8,-47,-15.8,7.11215040126359,7.01491877999979,2017.44637115931,2017.54360278058
61,7,2.3854736209808,-47,-15.8,-47,-15.8,7.06604268727351,6.97382288999974,2017.4924788733,2017.58469867058
61,8,2.38821334098064,-47,-15.8,-47,-15.8,7.06604268727351,6.9710831699999,2017.4924788733,2017.58743839058
64,11,2.41251298304199,-47,-15.8,-47,-15.8,7.09781745252703,6.91628864999984,2017.46070410805,2017.64223291058
57,15,5.45312965982099,-29.82,-10.76,-38.5,-12.9,8.28927811242241,6.91354891999981,2016.26924344815,2017.64497264058
64,12,2.41525271304202,-47,-15.8,-47,-15.8,7.09781745252703,6.91354891999981,2017.46070410805,2017.64497264058
63,65,1.94018715156514,-8.3,-4.65,30.4,6.5,7.77116984663423,6.03575654671338,2016.78735171394,2018.52276501386
65,13,4.9730677123379,30.4,6.5,104,35.9,6.03575654671338,4.83957631999985,2018.52276501386,2019.71894524058
48,67,17.0027738124607,-19.3425531914894,3.64893617021277,-11.5464285714286,13.675,21.1705825793398,4.16780876687913,2003.38793898124,2020.3907127937
