node1,node2,length,startLon,startLat,endLon,endLat,startNodeL,endNodeL,startYear,endYear
466,467,4.92927195211763,15.6608602150538,-2.49978494623656,-29.0046762589928,-13.5330935251799,26.1764431320702,19.8303172881851,1999.66681491037,2006.01294075425
467,468,1.02056978553795,-29.0046762589928,-13.5330935251799,-28.9905797101449,-13.6826086956522,19.8303172881851,22.4359245506687,2006.01294075425,2003.40733349177
466,744,3.02057011909335,15.6608602150538,-2.49978494623656,82.0620320855615,13.9026737967914,26.1764431320702,20.9827019265504,1999.66681491037,2004.86055611589
468,469,1.94247201594792,-28.9905797101449,-13.6826086956522,39.8297872340426,-3.52765957446808,22.4359245506687,18.1788131890835,2003.40733349177,2007.66444485335
744,745,5.864893702861,82.0620320855615,13.9026737967914,82.3264864864865,14.2713513513514,20.9827019265504,17.1844996262032,2004.86055611589,2008.65875841623
467,743,4.01993670949889,-29.0046762589928,-13.5330935251799,-30.95,7.1,19.8303172881851,16.3684687812545,2006.01294075425,2009.47478926118
745,904,1.78195135596985,82.3264864864865,14.2713513513514,62.5384615384615,19.7576923076923,17.1844996262032,15.3890374096895,2008.65875841623,2010.45422063275
904,905,0.100741833134226,62.5384615384615,19.7576923076923,66.4545454545455,22.6409090909091,15.3890374096895,15.1213445850901,2010.45422063275,2010.72191345735
745,746,2.83169284596149,82.3264864864865,14.2713513513514,85.5622641509434,13.374213836478,17.1844996262032,14.4592864641543,2008.65875841623,2011.38397157828
469,507,5.2563890445623,39.8297872340426,-3.52765957446808,20.4222222222222,-5.1,18.1788131890835,13.0277403339044,2007.66444485335,2012.81551770853
746,747,1.94586837414214,85.5622641509434,13.374213836478,93.3925619834711,17.1752066115702,14.4592864641543,12.4700407538597,2011.38397157828,2013.37321728858
746,867,2.25395121268883,85.5622641509434,13.374213836478,60.6289473684211,1.27105263157895,14.4592864641543,12.2053352514655,2011.38397157828,2013.63792279097
468,515,8.10067652014886,-28.9905797101449,-13.6826086956522,-43.1152838427948,-15.7668122270742,22.4359245506687,12.1259248742658,2003.40733349177,2013.71733316817
744,929,11.0386934255667,82.0620320855615,13.9026737967914,57.6,-20.2,20.9827019265504,12.1171795874101,2004.86055611589,2013.72607845503
515,516,0.110812909752422,-43.1152838427948,-15.7668122270742,-43.1765486725664,-15.8048672566372,12.1259248742658,11.9738821558979,2013.71733316817,2013.86937588654
516,517,0.0240185584970067,-43.1765486725664,-15.8048672566372,-43.1191111111111,-15.8057777777778,11.9738821558979,11.9673522408548,2013.86937588654,2013.87590580158
905,906,3.45472432361439,66.4545454545455,22.6409090909091,78,20,15.1213445850901,11.9535617973974,2010.72191345735,2013.88969624504
867,868,0.359303119231647,60.6289473684211,1.27105263157895,58.6583333333333,0.166666666666667,12.2053352514655,11.8141029219861,2013.63792279097,2014.02915512045
906,907,0.396772468866407,78,20,78,20,11.9535617973974,11.4922591319187,2013.88969624504,2014.35099891052
868,869,0.47162304675726,58.6583333333333,0.166666666666667,42.844,-1.392,11.8141029219861,11.3744090854766,2014.02915512045,2014.46884895696
517,518,0.556570287925904,-43.1191111111111,-15.8057777777778,-35.3578947368421,-4.51578947368421,11.9673522408548,11.3707996238638,2013.87590580158,2014.47245841857
515,741,0.808017800876133,-43.1152838427948,-15.7668122270742,-38.5,-12.9,12.1259248742658,11.3179070733896,2013.71733316817,2014.52535096905
517,536,0.66338597856671,-43.1191111111111,-15.8057777777778,-43.8349514563107,-16.8470873786408,11.9673522408548,11.0989785848362,2013.87590580158,2014.7442794576
741,742,0.390649501154474,-38.5,-12.9,-38.5,-12.9,11.3179070733896,10.9272575722351,2014.52535096905,2014.9160004702
518,529,0.456798092677825,-35.3578947368421,-4.51578947368421,-18.0625,-7.3125,11.3707996238638,10.9112856808374,2014.47245841857,2014.9319723616
867,903,1.31085374476444,60.6289473684211,1.27105263157895,96.1,21.15,12.2053352514655,10.8716868421095,2013.63792279097,2014.97157120033
536,537,0.32634463193825,-43.8349514563107,-16.8470873786408,-41.8894736842105,-10.9473684210526,11.0989785848362,10.7087930702292,2014.7442794576,2015.13446497221
469,470,7.59228164234557,39.8297872340426,-3.52765957446808,44.4263157894737,-3.15526315789474,18.1788131890835,10.6918477361211,2007.66444485335,2015.15141030632
