Accession_ID	Genotype	Date	Host	Continent	Country	City	Longitude	Latitude
EPI_ISL_19908635	II-ECSA	2025-03-25	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908636	II-ECSA	2025-03-25	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908637	II-ECSA	2025-03-25	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908638	II-ECSA	2025-03-26	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908639	II-ECSA	2025-03-28	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908640	II-ECSA	2025-03-28	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908641	II-ECSA	2025-03-30	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908642	II-ECSA	2025-04-08	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908643	II-ECSA	2025-04-08	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908644	II-ECSA	2025-04-09	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908645	II-ECSA	2025-04-09	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908646	II-ECSA	2025-04-10	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908647	II-ECSA	2025-04-10	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
