Accession_ID	Genotype	Date	Host	Continent	Country	City	Longitude	Latitude
EPI_ISL_20132783	II-ECSA	2023-01-12	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132784	II-ECSA	2022-04-26	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132785	II-ECSA	2021-03-18	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132786	II-ECSA	2022-08-17	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132787	II-ECSA	2020-09-08	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132788	II-ECSA	2020-07-15	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132789	II-ECSA	2023-04-09	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132790	II-ECSA	2022-10-11	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132791	II-ECSA	2023-10-18	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132792	II-ECSA	2023-05-10	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132793	II-ECSA	2021-02-03	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132794	II-ECSA	2020-04-14	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132795	II-ECSA	2023-11-14	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132796	II-ECSA	2020-10-01	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132797	II-ECSA	2023-08-11	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132798	II-ECSA	2021-12-29	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132799	II-ECSA	2022-11-30	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132800	II-ECSA	2023-07-28	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132801	II-ECSA	2023-02-14	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20132802	II-ECSA	2023-09-02	Human	Asia	Thailand	NA	100.5	13.8
EPI_ISL_20133015	II-ECSA	2025-06-18	Human	South America	Brazil	Espirito Santo	-40.3	-20.3
EPI_ISL_20133016	II-ECSA	2025-05-22	Human	South America	Brazil	Espirito Santo	-40.3	-20.3
EPI_ISL_20133017	II-ECSA	2025-05-21	Human	South America	Brazil	Espirito Santo	-40.3	-20.3
EPI_ISL_20133018	II-ECSA	2025-06-09	Human	South America	Brazil	Espirito Santo	-40.3	-20.3
EPI_ISL_20133019	II-ECSA	2025-06-11	Human	South America	Brazil	Espirito Santo	-40.3	-20.3
EPI_ISL_20133020	II-ECSA	2025-06-14	Human	South America	Brazil	Espirito Santo	-40.3	-20.3
EPI_ISL_20133021	II-ECSA	2025-06-30	Human	South America	Brazil	Espirito Santo	-40.3	-20.3
EPI_ISL_20136511	II-ECSA	2025-04-08	Human	South America	Brazil	Bahia	-38.5	-12.9
EPI_ISL_20136512	II-ECSA	2025-04-02	Human	South America	Brazil	Bahia	-38.5	-12.9
EPI_ISL_20136513	II-ECSA	2025-04-02	Human	South America	Brazil	Bahia	-38.5	-12.9
EPI_ISL_20136514	II-ECSA	2025-03-26	Human	South America	Brazil	Bahia	-38.5	-12.9
EPI_ISL_20136515	II-ECSA	2025-04-03	Human	South America	Brazil	Bahia	-38.5	-12.9
EPI_ISL_20136516	II-ECSA	2025-03-25	Human	South America	Brazil	Bahia	-38.5	-12.9
EPI_ISL_20140937	II-ECSA	2025-01-12	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140938	II-ECSA	2025-01-28	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140939	II-ECSA	2025-02-10	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140940	II-ECSA	2025-02-21	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140941	II-ECSA	2025-02-23	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140942	II-ECSA	2025-02-28	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140943	II-ECSA	2025-02-27	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140944	II-ECSA	2025-03-14	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140945	II-ECSA	2025-04-04	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140946	II-ECSA	2025-03-14	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140947	II-ECSA	2025-03-17	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20140948	II-ECSA	2025-03-22	Human	South America	Brazil	Tocantins	-48	-10.2
EPI_ISL_20148699	II-ECSA	2025-07-24	Human	Asia	China	Guangdong	113.3	23.1
EPI_ISL_20148700	II-ECSA	2025-07-31	Human	Asia	China	Guangdong	113.3	23.1
EPI_ISL_20148701	II-ECSA	2025-07-27	Human	Asia	China	Guangdong	113.3	23.1
EPI_ISL_20148702	II-ECSA	2025-07-24	Human	Asia	China	Guangdong	113.3	23.1
EPI_ISL_20150395	II-ECSA	2025-07-25	Human	South America	Brazil	Espirito Santo	-40.3	-20.3
EPI_ISL_20153670	II-ECSA	2025-05-29	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153671	II-ECSA	2025-05-28	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153672	II-ECSA	2025-03-21	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153673	II-ECSA	2025-05-30	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153674	II-ECSA	2025-06-06	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153675	II-ECSA	2025-06-24	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153676	II-ECSA	2025-03-28	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153677	II-ECSA	2025-03-28	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153678	II-ECSA	2025-03-28	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153679	II-ECSA	2025-03-31	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153680	II-ECSA	2025-03-31	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153681	II-ECSA	2025-03-31	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153682	II-ECSA	2025-03-31	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153683	II-ECSA	2025-04-01	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153684	II-ECSA	2025-04-01	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153686	II-ECSA	2025-04-01	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153687	II-ECSA	2025-04-01	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153688	II-ECSA	2025-04-01	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153689	II-ECSA	2025-03-31	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153690	II-ECSA	2025-03-31	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153691	II-ECSA	2025-03-31	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153692	II-ECSA	2025-03-31	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153693	II-ECSA	2025-03-31	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153694	II-ECSA	2025-04-01	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153695	II-ECSA	2025-04-01	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153696	II-ECSA	2025-04-10	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
