"","Brazil","China","France","India","Senegal"
"Brazil",0,0.0406889290410675,0.0218866789620128,0.060184648762305,0.020541939261543
"China",0.0204733944423153,0,0.0185179125416983,0.035864000128604,0.0162705605022846
"France",0.02482885963022,0.0268296800898257,0,0.0251112471340204,0.0277015509729287
"India",0.0274565983183131,0.0513315985010636,0.0221008057964253,0,0.0288497646733948
"Senegal",0.0240376913737111,0.0197812517462636,0.0205632977505379,0.0301106051271042,0
