node1,node2,length,startLon,startLat,endLon,endLat,startNodeL,endNodeL,startYear,endYear
167,168,3.15361342641906,-63.9718072289157,6.76602409638554,-64.0504242424242,6.8070303030303,26.390928663317,20.1531642731737,1999.21139850985,2005.4491629
168,169,4.30877276660818,-64.0504242424242,6.8070303030303,-64.13,6.84853658536585,20.1531642731737,15.0403107487728,2005.4491629,2010.5620164244
169,185,3.72974938688696,-64.13,6.84853658536585,-81.2960810810811,5.43554054054054,15.0403107487728,12.8443966081938,2010.5620164244,2012.75793056498
185,186,0.121548565508414,-81.2960810810811,5.43554054054054,-81.7828571428571,6.45007518796992,12.8443966081938,12.3512885396704,2012.75793056498,2013.2510386335
169,170,6.68530062304208,-64.13,6.84853658536585,94.65625,19.91875,15.0403107487728,12.2698558133145,2010.5620164244,2013.33247135985
186,187,0.605085362968589,-81.7828571428571,6.45007518796992,-70.0567567567568,-10.1362162162162,12.3512885396704,12.1784308962321,2013.2510386335,2013.42389627694
186,223,3.02022504018949,-81.7828571428571,6.45007518796992,-86.3022916666667,12.8427083333333,12.3512885396704,12.0570194777049,2013.2510386335,2013.54530769546
187,188,2.24772695646845,-70.0567567567568,-10.1362162162162,-69.9444444444444,-10.5455555555556,12.1784308962321,11.7576747462341,2013.42389627694,2013.84465242693
185,318,3.46894805109018,-81.2960810810811,5.43554054054054,-76.98,-3.56,12.8443966081938,11.7423052200956,2012.75793056498,2013.86002195307
223,274,0.145929735246993,-86.3022916666667,12.8427083333333,-86.1817777777778,12.1011111111111,12.0570194777049,11.4160110922114,2013.54530769546,2014.18631608096
223,224,0.0414187106846562,-86.3022916666667,12.8427083333333,-86.4086274509804,13.4970588235294,12.0570194777049,11.3798384461493,2013.54530769546,2014.22248872702
188,189,0.236578391159767,-69.9444444444444,-10.5455555555556,-65.8166666666667,-14.9183333333333,11.7576747462341,11.284767425948,2013.84465242693,2014.31755974722
318,319,0.495914064376439,-76.98,-3.56,-77.9071428571429,-1.34285714285714,11.7423052200956,11.2339309679362,2013.86002195307,2014.36839620523
274,275,0.196027175765458,-86.1817777777778,12.1011111111111,-86.1751219512195,12.0973170731707,11.4160110922114,11.148038390137,2014.18631608096,2014.45428878303
275,276,0.00116219532924511,-86.1751219512195,12.0973170731707,-86.1687096774194,12.1193548387097,11.148038390137,11.1090698435661,2014.45428878303,2014.4932573296
276,287,0.252245195601098,-86.1687096774194,12.1193548387097,-86.1685,12.102,11.1090698435661,11.0157648787176,2014.4932573296,2014.58656229445
224,225,0.0307327240810267,-86.4086274509804,13.4970588235294,-86.5113953488372,13.7383720930233,11.3798384461493,10.9695625463424,2014.22248872702,2014.63276462683
188,212,1.25545148982229,-69.9444444444444,-10.5455555555556,-78.2,-1.8,11.7576747462341,10.9680474411497,2013.84465242693,2014.63427973202
225,231,0.026798881218717,-86.5113953488372,13.7383720930233,-86.5821621621622,13.9932432432432,10.9695625463424,10.9533114514425,2014.63276462683,2014.64901572173
319,320,0.137663039573837,-77.9071428571429,-1.34285714285714,-76.8333333333333,0.333333333333333,11.2339309679362,10.9113313760756,2014.36839620523,2014.69099579709
189,209,1.04926373701736,-65.8166666666667,-14.9183333333333,-86.25,12.14,11.284767425948,10.8837912284559,2014.31755974722,2014.71853594471
320,321,0.0557329660119787,-76.8333333333333,0.333333333333333,-76.15,1.4,10.9113313760756,10.8566245153865,2014.69099579709,2014.74570265778
189,190,0.538929430040241,-65.8166666666667,-14.9183333333333,-61.73,-20.33,11.284767425948,10.8358639983434,2014.31755974722,2014.76646317483
170,179,0.619733328018663,94.65625,19.91875,112.657142857143,11.6571428571429,12.2698558133145,10.8309739422124,2013.33247135985,2014.77135323096
231,232,0.982426849592869,-86.5821621621622,13.9932432432432,-86.25,12.14,10.9533114514425,10.7965596534198,2014.64901572173,2014.80576751975
231,234,0.0962722013192963,-86.5821621621622,13.9932432432432,-86.6114705882353,14.1567647058824,10.9533114514425,10.7895408686275,2014.64901572173,2014.81278630454
225,226,1.2019723126901,-86.5113953488372,13.7383720930233,-86.075,12.1666666666667,10.9695625463424,10.7828957302491,2014.63276462683,2014.81943144292
234,235,0.0899451087860399,-86.6114705882353,14.1567647058824,-86.6464516129032,14.351935483871,10.7895408686275,10.7562890851507,2014.81278630454,2014.84603808802
276,277,0.254133521994987,-86.1687096774194,12.1193548387097,-86.1690909090909,12.1509090909091,11.1090698435661,10.7551885505809,2014.4932573296,2014.84713862259
274,315,1.16013621559635,-86.1817777777778,12.1011111111111,-86.25,12.14,11.4160110922114,10.7509535268615,2014.18631608096,2014.85137364631
319,322,0.496472461512734,-77.9071428571429,-1.34285714285714,-78.2,-1.8,11.2339309679362,10.7374585064234,2014.36839620523,2014.86486866675
287,288,0.0626795403944058,-86.1685,12.102,-86.1442857142857,12.0978571428571,11.0157648787176,10.7227027535769,2014.58656229445,2014.87962441959
234,265,1.16121626304642,-86.6114705882353,14.1567647058824,-86.25,12.14,10.7895408686275,10.7005806973548,2014.81278630454,2014.90174647581
277,278,0.343321659369435,-86.1690909090909,12.1509090909091,-86.161,12.152,10.7551885505809,10.6887695016265,2014.84713862259,2014.91355767154
315,316,0.0189640961969282,-86.25,12.14,-86.25,12.14,10.7509535268615,10.6755707874935,2014.85137364631,2014.92675638568
322,323,0.00903779861639187,-78.2,-1.8,-78.2,-1.8,10.7374585064234,10.662944888839,2014.86486866675,2014.93938228433
226,228,0.012905370637128,-86.075,12.1666666666667,-85.9875,12.18,10.7828957302491,10.6621218716929,2014.81943144292,2014.94020530148
